,RequirementText,Class,cleaned_text,label
557,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,LF,the product shall comply with city of chicago application development guide frameworkapplication development framework will provide structured graphical user interface,1
402,The website shall achieve 99.5% up time.,Other,the website shall achieve 995 up time,3
439,The website should cater to all tribes in Nigeria.,LF,the website should cater to all tribes in nigeria,1
545,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE,the system shall be responsive at the depaul teleservices center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90 of the time and no more than 5 seconds the rest of the time,4
35,The product shall use symbols and words that are naturally understandable by the realtor community.,US,the product shall use symbols and words that are naturally understandable by the realtor community,6
332,The product will update existing room equipment.,F,the product will update existing room equipment,0
121,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,F,program administrators and nursing staff members shall be able to add a new clinical site into the system,0
33,The system shall be intuitive and self explanatory.,US,the system shall be intuitive and self explanatory,6
109,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,F,program administrators and nursing staff members shall be able to add clinical classes or sections to a sequence of classes,0
64,The realtor shall be notified of new client appointments after automatic synchronization with office system,F,the realtor shall be notified of new client appointments after automatic synchronization with office system,0
412,The same hardware supporting the current website will be used to support the new system.,O,the same hardware supporting the current website will be used to support the new system,2
44,The product shall operate in offline mode whenever internet connection is unavailable.,Other,the product shall operate in offline mode whenever internet connection is unavailable,3
465,The owner shall have free access to all of the streaming movies.,F,the owner shall have free access to all of the streaming movies,0
224,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,Other,the product shall be able to handle 10 000 concurrent users within 2 years of the initial launch,3
517,The product shall allow the player to position ships vertically on their grid.,F,the product shall allow the player to position ships vertically on their grid,0
527,For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,F,for each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player,0
584,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),US,rreports must be easy to generate eports must be generated within one button click and exported within one button click after selecting the report,6
470,The lead washing process will operate within the established physical web service structure.,O,the lead washing process will operate within the established physical web service structure,2
338,The product shall record updated meeting agendas.,F,the product shall record updated meeting agendas,0
395,The website will use standard Internet conventions when interacting with the user.,US,the website will use standard internet conventions when interacting with the user,6
390,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,US,an anonymous survey will show that 70 of customers are comfortable purchasing streaming movies after 2 weeks using the website,6
85,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O,the system shall be used within the specifications defined by the computers used by the program administratorsnursing staff members,2
429,Only authorized personnel can access sales information.,SE,only authorized personnel can access sales information,5
614,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,O,98 of the user workstations shall meet the minimum hardware requirements prior to implementation minimum hard disk space  400mb,2
463,All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,F,all registered customer information shall be stored and maintained in the database  even after the customer cancels their account,0
471,The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,O,the washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data,2
112,A class shall be either a non-clinical class or a clinical class.,F,a class shall be either a nonclinical class or a clinical class,0
251,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F,the estimator shall search for available recycled parts using a list of preferred parts suppliers,0
622,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF,the intranet pages should display appropriately in all resolutions  from 800x600 and higher the display of all the pages will be correct in 95 of the resolutions  prior to implementation the remaining 5 will be corrected within a week of notification of the incorrect display,1
110,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,F,program administrators and nursing staff members shall be able to add a new cohort to the system  identified by start month and year,0
205,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O,the product shall interface with the choice parts system  this provides the feed of recycled parts data,2
123,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,F,program administrators and nursing staff members shall be able to add a new clinical lab section for an existing clinical class into the system,0
354,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,SE,the system shall maintain consistent security  any changes in user passwords andor permissions should take affect in all parts of the system,5
89,The system shall interface with the student master server.,O,the system shall interface with the student master server,2
271,The user shall enter new ratings based on the audit report,F,the user shall enter new ratings based on the audit report,0
323,The product shall record meeting entries.,F,the product shall record meeting entries,0
176,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Other,the disputes application must maintain a detailed history of every action that a user takes on a dispute case  this ensures a complete audit trail if questions arise later on with regard to a particular dispute case,3
462,All streaming movie sales will be logged in the database  and accessible by the administrator.,F,all streaming movie sales will be logged in the database  and accessible by the administrator,0
394,The product shall use symbols and words that are naturally understandable by users familiar with websites,US,the product shall use symbols and words that are naturally understandable by users familiar with websites,6
236,The system shall prevent malicious attacks including denial of service.,SE,the system shall prevent malicious attacks including denial of service,5
273,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,F,the ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,0
467,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE,no lead evaluation will complete in a time period longer than 25 seconds for 97 of all leads processed,4
423,Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,Other,velkat staff will be available for phone support between 7am7pm  mf to provide technical support to the izogn administrators,3
286,The product shall allow the user to select a chosen language from one of the target market countries.,US,the product shall allow the user to select a chosen language from one of the target market countries,6
26,The system shall provide charts for the Activity or Event actual versus assumed time.,F,the system shall provide charts for the activity or event actual versus assumed time,0
218,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,PE,the recycled parts audit report shall be returned to the user within 10 seconds  the audit report shall be returned within 10 seconds,4
