,RequirementText,Class,cleaned_text,label
0,The system shall refresh the display every 60 seconds.,PE,the system shall refresh the display every 60 seconds,4
1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,the application shall match the color of the schema set forth by department of homeland security,1
2,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US,if projected  the data must be readable  on a 10x10 projection screen  90 of viewers must be able to read event  activity data from a viewing distance of 30,6
3,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Other,the product shall be available during normal business hours as long as the user has access to the client pc  the system will be available 99 of the time during the first six months of operation,3
4,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US,if projected  the data must be understandable on a 10x10 projection screen  90 of viewers must be able to determine that events or activities are occuring in current time from a viewing distance of 100,6
5,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE,the product shall ensure that it can only be accessed by authorized users  the product will be able to distinguish between authorized and unauthorized users in all access attempts,5
6,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,the product shall be intuitive and selfexplanatory    90 of new users shall be able to start the display of events or activities within 90 minutes of using the product,6
7,The product shall respond fast to keep up-to-date data in the display.,PE,the product shall respond fast to keep uptodate data in the display,4
8,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,the system shall have a mdi form that allows for the viewing of the graph and the data table,0
9,The system shall display Events in a vertical table by time.,F,the system shall display events in a vertical table by time,0
10,The system shall display the Events in a graph by time.,F,the system shall display the events in a graph by time,0
11,The system shall display Events or Activities.,F,the system shall display events or activities,0
12,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,the display shall have two regions  left 23 of the display is graphical  right 13 of the display is a data table,0
13,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,the data displayed in both the nodes within the graph and the rows in the table are msel summary data,0
14,The table side of the display shall be split into 2 regions: sequential and temporal.,F,the table side of the display shall be split into 2 regions sequential and temporal,0
15,The top 1/4 of the table will hold events that are to occur sequentially.,F,the top 14 of the table will hold events that are to occur sequentially,0
16,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,the bottom 34 of the table will hold events that occur according to its relevance to current time,0
17,The system shall color code events according to their variance from current time.,F,the system shall color code events according to their variance from current time,0
18,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F,the system shall display data from the sync matrix 10 and exercise management tool 10 applications,0
